Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
SBILIFE,-2.84,11626,24.54,47683,38288,9395,118143,1756,2026-09-24 09:11:00
BAJFINANCE,-3.66,114725,32.6,204735,154406,50329,235891,978,2026-09-24 09:11:00
INDUSINDBK,-4.31,43761,24.65,100678,80769,19909,90707,917,2026-09-24 09:11:00
NAUKRI,-5.01,17335,28.15,45939,35848,10091,60414,1215,2026-09-24 09:11:00
ICICIPRULI,-6.71,22681,30.84,41316,31577,9739,68254,465,2026-09-24 09:11:00
CHOLAFIN,-8.12,152846,38.67,48231,34780,13451,76289,1672,2026-09-24 09:11:00
MFSL,-9.99,19384,85.17,43507,23496,20011,164051,1374,2026-09-24 09:11:00
LTF,-10.0,158574,45.75,64066,43955,20111,133392,281,2026-09-24 09:11:00
POLICYBZR,-10.0,21540,156.46,123356,48099,75257,470418,1291,2026-09-24 09:11:00
