Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
BSE,4.18,187066,20.0,78597,65500,13097,246536,3111,2026-02-10 05:40:00
AMBER,3.56,38580,30.19,30177,23179,6998,103921,7417,2026-02-10 05:40:00
