Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
360ONE,3.55,22388,51.76,16911,11143,5768,43929,1219,2026-01-16 04:45:24
ANGELONE,2.48,45603,30.75,52642,40262,12380,149687,2710,2026-01-16 04:45:24
