Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
POWERINDIA,8.86,9306,44.3,16757,11613,5144,49183,21421,2026-02-06 05:17:50
NYKAA,2.52,464550,27.78,28173,22048,6125,48513,268,2026-02-06 05:17:50
