Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
DMART,-2.32,20854,44.46,52442,36301,16141,71426,3991,2026-07-03 07:28:56
POLICYBZR,-3.69,127943,48.28,38424,25913,12511,67270,1593,2026-07-03 07:28:56
CGPOWER,-5.0,221472,39.35,45887,32929,12958,93481,890,2026-07-03 07:28:56
GVT&D,-5.0,26604,34.96,25203,18675,6528,42006,4333,2026-07-03 07:28:56
POWERINDIA,-5.0,4560,57.54,52469,33306,19163,118747,30745,2026-07-03 07:28:56
