Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
SONACOMS,10.0,166104,27.8,17678,13833,3845,21023,529,2026-02-03 05:17:27
WAAREEENER,9.76,68985,26.15,25198,19974,5224,51055,3119,2026-02-03 05:17:27
BHARATFORG,8.06,58087,20.3,23433,19479,3954,31988,1561,2026-02-03 05:17:27
