Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
PIDILITIND,3.67,85754,68.65,40397,23953,16444,93289,1481,2026-05-08 06:03:05
BRITANNIA,-3.1,52572,47.08,55728,37889,17839,162642,5546,2026-05-08 06:03:05
