Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
POLYCAB,-3.49,34111,69.3,68976,40741,28235,158685,8257,2026-09-04 08:44:34
KEI,-6.14,30697,89.35,42265,22321,19944,106840,4880,2026-09-04 08:44:34
