Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
GMRAIRPORT,4.25,729735,22.86,32505,26457,6048,50427,102,2026-05-29 08:02:50
ALKEM,2.32,7116,36.11,18654,13705,4949,49952,5571,2026-05-29 08:02:50
BDL,-5.86,38578,85.83,40345,21711,18634,88594,1185,2026-05-29 08:02:50
