Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
LT,-2.87,65790,20.3,160155,133132,27023,143151,3801,2026-03-04 05:11:09
PETRONET,-3.45,173596,28.17,36309,28328,7981,61334,279,2026-03-04 05:11:09
