Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
NAM-INDIA,-2.27,2576,91.93,1261,657,604,1386,828,2026-04-03 05:44:14
DIXON,-2.38,2213,34.45,121167,90118,31049,176453,9890,2026-04-03 05:44:14
COCHINSHIP,-2.88,13626,31.91,3216,2438,778,6782,1315,2026-04-03 05:44:14
