Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
EICHERMOT,2.86,13706,45.7,92859,63732,29127,301408,7769,2026-02-11 05:38:51
JUBLFOOD,2.8,112078,30.09,39923,30689,9234,57120,549,2026-02-11 05:38:51
BHEL,-5.14,608825,29.29,74954,57974,16980,89052,260,2026-02-11 05:38:51
