Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
LICI,4.35,185934,22.44,48545,39649,8896,144300,819,2026-05-22 07:50:01
NYKAA,3.28,506969,39.61,35626,25519,10107,71147,273,2026-05-22 07:50:01
PAGEIND,2.71,473,56.25,49590,31738,17852,213196,38860,2026-05-22 07:50:01
VBL,2.34,232061,21.4,79767,65708,14059,121139,536,2026-05-22 07:50:01
MAXHEALTH,-2.09,21150,39.08,56670,40747,15923,197898,1039,2026-05-22 07:50:01
