Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
FORCEMOT,2.55,468,20.56,7864,6523,1341,10569,22695,2026-04-15 06:04:13
NAM-INDIA,2.35,3162,33.14,6448,4843,1605,8921,969,2026-04-15 06:04:13
