Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
PAGEIND,2.07,379,22.42,18873,15416,3457,20058,43320,2026-07-01 08:17:10
KPITTECH,-10.0,82627,218.88,56101,17593,38508,161337,565,2026-07-01 08:17:10
