Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
COCHINSHIP,-3.66,62147,29.47,28096,21700,6396,38878,1453,2026-07-07 07:47:44
TRENT,-7.89,39309,78.72,127054,71090,55964,246051,2932,2026-07-07 07:47:44
