Symbol,%Change PreMarket,Qty Traded,%Change OI,Latest OI,Previous OI,Change In OI,Volume,Underlying Price,Timestamp
WAAREEENER,-4.03,35730,34.43,80439,59839,20600,128601,2624,2026-07-30 06:33:01
KPITTECH,-4.5,111990,24.69,52187,41855,10332,81939,588,2026-07-30 06:33:01
